,class_id,sale_date,holidays,holiday_importance,weekend,length,workday,sale_quantity
0,103507,2015-03-01,0,0,9,31,22,58
1,103507,2015-04-01,1,0,8,30,21,232
2,103507,2015-05-01,1,2,10,31,20,226
3,103507,2015-06-01,1,0,8,30,21,286
4,103507,2015-07-01,0,0,8,31,23,297
5,103507,2015-08-01,0,0,10,31,21,355
6,103507,2015-09-01,2,0,8,30,20,442
7,103507,2015-10-01,5,3,9,31,17,1050
8,103507,2015-11-01,0,0,9,30,21,481
9,103507,2015-12-01,0,0,8,31,23,1433
10,103507,2016-01-01,1,0,10,31,20,993
11,103507,2016-02-01,5,1,8,29,16,953
12,103507,2016-03-01,0,0,8,31,23,650
13,103507,2016-04-01,1,0,9,30,20,145
14,103507,2016-05-01,1,2,9,31,21,772
15,103507,2016-06-01,2,0,8,30,20,829
16,103507,2016-07-01,0,0,10,31,21,378
17,103507,2016-08-01,0,0,8,31,23,406
18,103507,2016-09-01,2,3,8,30,20,684
19,103507,2016-10-01,5,3,10,31,16,632
20,103507,2016-11-01,0,0,8,30,22,876
21,103507,2016-12-01,0,0,9,31,22,1653
22,103507,2017-01-01,4,1,9,31,18,499
23,103507,2017-02-01,2,1,8,28,18,435
24,103507,2017-03-01,0,0,8,31,23,371
25,103507,2017-04-01,2,0,10,30,18,290
26,103507,2017-05-01,3,2,8,31,20,429
27,103507,2017-06-01,0,0,8,30,22,371
28,103507,2017-07-01,0,0,10,31,21,313
29,103507,2017-08-01,0,0,8,31,23,180
30,103507,2017-09-01,0,0,9,30,21,186
31,103507,2017-10-01,5,3,9,31,17,180
32,124140,2014-05-01,2,2,9,31,20,15
33,124140,2014-06-01,1,0,9,30,20,83
34,124140,2014-07-01,0,0,8,31,23,195
35,124140,2014-08-01,0,0,10,31,21,113
36,124140,2014-09-01,1,3,8,30,21,174
37,124140,2014-10-01,5,3,8,31,18,225
38,124140,2014-11-01,0,0,10,30,20,263
39,124140,2014-12-01,0,0,8,31,23,248
40,124140,2015-01-01,2,1,9,31,20,286
41,124140,2015-02-01,5,1,8,28,15,294
42,124140,2015-03-01,0,0,9,31,22,233
43,124140,2015-04-01,1,0,8,30,21,233
44,124140,2015-05-01,1,2,10,31,20,338
45,124140,2015-06-01,1,0,8,30,21,309
46,124140,2015-07-01,0,0,8,31,23,346
47,124140,2015-08-01,0,0,10,31,21,316
48,124140,2015-09-01,2,0,8,30,20,376
49,124140,2015-10-01,5,3,9,31,17,241
50,124140,2015-11-01,0,0,9,30,21,271
51,124140,2015-12-01,0,0,8,31,23,324
52,124140,2016-01-01,1,0,10,31,20,459
53,124140,2016-02-01,5,1,8,29,16,354
54,124140,2016-03-01,0,0,8,31,23,248
55,124140,2016-04-01,1,0,9,30,20,324
56,124140,2016-05-01,1,2,9,31,21,263
57,124140,2016-06-01,2,0,8,30,20,143
58,124140,2016-07-01,0,0,10,31,21,211
59,124140,2016-08-01,0,0,8,31,23,406
60,124140,2016-09-01,2,3,8,30,20,331
61,124140,2016-10-01,5,3,10,31,16,293
62,124140,2016-11-01,0,0,8,30,22,301
63,124140,2016-12-01,0,0,9,31,22,526
64,124140,2017-01-01,4,1,9,31,18,316
65,124140,2017-02-01,2,1,8,28,18,203
66,124140,2017-03-01,0,0,8,31,23,210
67,124140,2017-04-01,2,0,10,30,18,218
68,124140,2017-05-01,3,2,8,31,20,263
69,124140,2017-06-01,0,0,8,30,22,256
70,124140,2017-07-01,0,0,10,31,21,255
71,124140,2017-08-01,0,0,8,31,23,226
72,124140,2017-09-01,0,0,9,30,21,285
73,124140,2017-10-01,5,3,9,31,17,263
74,125403,2012-01-01,7,1,9,31,15,90
75,125403,2012-02-01,0,0,8,29,21,156
76,125403,2012-03-01,0,0,9,31,22,91
77,125403,2012-04-01,4,2,9,30,17,74
78,125403,2012-05-01,1,2,8,31,22,130
79,125403,2012-06-01,1,0,9,30,20,164
80,125403,2012-07-01,0,0,9,31,22,188
81,125403,2012-08-01,0,0,8,31,23,131
82,125403,2012-09-01,0,0,10,30,20,124
83,125403,2012-10-01,5,3,8,31,18,107
84,125403,2012-11-01,0,0,8,30,22,147
85,125403,2012-12-01,0,0,10,31,21,123
86,125403,2013-01-01,3,1,8,31,20,238
87,125403,2013-02-01,5,1,8,28,15,90
88,125403,2013-03-01,0,0,10,31,21,156
89,125403,2013-04-01,4,0,8,30,18,139
90,125403,2013-05-01,1,2,8,31,22,230
91,125403,2013-06-01,3,0,10,30,17,131
92,125403,2013-07-01,0,0,8,31,23,246
93,125403,2013-08-01,0,0,9,31,22,155
94,125403,2013-09-01,2,0,9,30,19,172
95,125403,2013-10-01,5,3,8,31,18,114
96,125403,2013-11-01,0,0,9,30,21,222
97,125403,2013-12-01,0,0,9,31,22,99
98,125403,2014-01-01,2,1,8,31,21,164
99,125403,2014-02-01,4,1,8,28,16,89
100,125403,2014-03-01,0,0,10,31,21,156
101,125403,2014-04-01,1,0,8,30,21,230
102,125403,2014-05-01,2,2,9,31,20,65
103,125403,2014-06-01,1,0,9,30,20,106
104,125403,2014-07-01,0,0,8,31,23,222
105,125403,2014-08-01,0,0,10,31,21,147
106,125403,2014-09-01,1,3,8,30,21,139
107,125403,2014-10-01,5,3,8,31,18,98
108,125403,2014-11-01,0,0,10,30,20,188
109,125403,2014-12-01,0,0,8,31,23,164
110,125403,2015-01-01,2,1,9,31,20,147
111,125403,2015-02-01,5,1,8,28,15,115
112,125403,2015-03-01,0,0,9,31,22,140
113,125403,2015-04-01,1,0,8,30,21,270
114,125403,2015-05-01,1,2,10,31,20,90
115,125403,2015-06-01,1,0,8,30,21,164
116,125403,2015-07-01,0,0,8,31,23,213
117,125403,2015-08-01,0,0,10,31,21,213
118,125403,2015-09-01,2,0,8,30,20,197
119,125403,2015-10-01,5,3,9,31,17,115
120,125403,2015-11-01,0,0,9,30,21,148
121,125403,2015-12-01,0,0,8,31,23,213
122,125403,2016-01-01,1,0,10,31,20,156
123,125403,2016-02-01,5,1,8,29,16,115
124,125403,2016-03-01,0,0,8,31,23,197
125,125403,2016-04-01,1,0,9,30,20,361
126,125403,2016-05-01,1,2,9,31,21,156
127,125403,2016-06-01,2,0,8,30,20,132
128,125403,2016-07-01,0,0,10,31,21,172
129,125403,2016-08-01,0,0,8,31,23,197
130,125403,2016-09-01,2,3,8,30,20,247
131,125403,2016-10-01,5,3,10,31,16,99
132,125403,2016-11-01,0,0,8,30,22,131
133,125403,2016-12-01,0,0,9,31,22,182
134,125403,2017-01-01,4,1,9,31,18,172
135,125403,2017-02-01,2,1,8,28,18,131
136,125403,2017-03-01,0,0,8,31,23,360
137,125403,2017-04-01,2,0,10,30,18,327
138,125403,2017-05-01,3,2,8,31,20,279
139,125403,2017-06-01,0,0,8,30,22,343
140,125403,2017-07-01,0,0,10,31,21,418
141,125403,2017-08-01,0,0,8,31,23,311
142,125403,2017-09-01,0,0,9,30,21,328
143,125403,2017-10-01,5,3,9,31,17,156
144,136916,2012-01-01,7,1,9,31,15,665
145,136916,2012-02-01,0,0,8,29,21,351
146,136916,2012-03-01,0,0,9,31,22,274
147,136916,2012-04-01,4,2,9,30,17,231
148,136916,2012-05-01,1,2,8,31,22,375
149,136916,2012-06-01,1,0,9,30,20,410
150,136916,2012-07-01,0,0,9,31,22,537
151,136916,2012-08-01,0,0,8,31,23,462
152,136916,2012-09-01,0,0,10,30,20,366
153,136916,2012-10-01,5,3,8,31,18,477
154,136916,2012-11-01,0,0,8,30,22,206
155,136916,2012-12-01,0,0,10,31,21,358
156,136916,2013-01-01,3,1,8,31,20,613
157,136916,2013-02-01,5,1,8,28,15,214
158,136916,2013-03-01,0,0,10,31,21,341
159,136916,2013-04-01,4,0,8,30,18,317
160,136916,2013-05-01,1,2,8,31,22,546
161,136916,2013-06-01,3,0,10,30,17,349
162,136916,2013-07-01,0,0,8,31,23,452
163,136916,2013-08-01,0,0,9,31,22,478
164,136916,2013-09-01,2,0,9,30,19,715
165,136916,2013-10-01,5,3,8,31,18,546
166,136916,2013-11-01,0,0,9,30,21,452
167,136916,2013-12-01,0,0,9,31,22,392
168,136916,2014-01-01,2,1,8,31,21,639
169,136916,2014-02-01,4,1,8,28,16,307
170,136916,2014-03-01,0,0,10,31,21,189
171,136916,2014-04-01,1,0,8,30,21,257
172,136916,2014-05-01,2,2,9,31,20,233
173,136916,2014-06-01,1,0,9,30,20,300
174,136916,2014-07-01,0,0,8,31,23,334
175,136916,2014-08-01,0,0,10,31,21,324
176,136916,2014-09-01,1,3,8,30,21,377
177,136916,2014-10-01,5,3,8,31,18,307
178,136916,2014-11-01,0,0,10,30,20,256
179,136916,2014-12-01,0,0,8,31,23,249
180,136916,2015-01-01,2,1,9,31,20,444
181,136916,2015-02-01,5,1,8,28,15,283
182,136916,2015-03-01,0,0,9,31,22,282
183,136916,2015-04-01,1,0,8,30,21,291
184,136916,2015-05-01,1,2,10,31,20,179
185,136916,2015-06-01,1,0,8,30,21,300
186,136916,2015-07-01,0,0,8,31,23,264
187,136916,2015-08-01,0,0,10,31,21,342
188,136916,2015-09-01,2,0,8,30,20,315
189,136916,2015-10-01,5,3,9,31,17,239
190,136916,2015-11-01,0,0,9,30,21,247
191,136916,2015-12-01,0,0,8,31,23,290
192,136916,2016-01-01,1,0,10,31,20,256
193,136916,2016-02-01,5,1,8,29,16,120
194,136916,2016-03-01,0,0,8,31,23,256
195,136916,2016-04-01,1,0,9,30,20,299
196,136916,2016-05-01,1,2,9,31,21,248
197,136916,2016-06-01,2,0,8,30,20,247
198,136916,2016-07-01,0,0,10,31,21,290
199,136916,2016-08-01,0,0,8,31,23,188
200,136916,2016-09-01,2,3,8,30,20,171
201,136916,2016-10-01,5,3,10,31,16,180
202,136916,2016-11-01,0,0,8,30,22,213
203,136916,2016-12-01,0,0,9,31,22,256
204,136916,2017-01-01,4,1,9,31,18,213
205,136916,2017-02-01,2,1,8,28,18,196
206,136916,2017-03-01,0,0,8,31,23,213
207,136916,2017-04-01,2,0,10,30,18,137
208,136916,2017-05-01,3,2,8,31,20,162
209,136916,2017-06-01,0,0,8,30,22,179
210,136916,2017-07-01,0,0,10,31,21,162
211,136916,2017-08-01,0,0,8,31,23,179
212,136916,2017-09-01,0,0,9,30,21,145
213,136916,2017-10-01,5,3,9,31,17,162
214,169673,2017-06-01,0,0,8,30,22,67
215,169673,2017-07-01,0,0,10,31,21,57
216,169673,2017-08-01,0,0,8,31,23,86
217,169673,2017-09-01,0,0,9,30,21,219
218,169673,2017-10-01,5,3,9,31,17,152
219,175962,2012-12-01,0,0,10,31,21,8
220,175962,2013-01-01,3,1,8,31,20,63
221,175962,2013-02-01,5,1,8,28,15,64
222,175962,2013-03-01,0,0,10,31,21,126
223,175962,2013-04-01,4,0,8,30,18,237
224,175962,2013-05-01,1,2,8,31,22,229
225,175962,2013-06-01,3,0,10,30,17,206
226,175962,2013-07-01,0,0,8,31,23,269
227,175962,2013-08-01,0,0,9,31,22,356
228,175962,2013-09-01,2,0,9,30,19,387
229,175962,2013-10-01,5,3,8,31,18,340
230,175962,2013-11-01,0,0,9,30,21,513
231,175962,2013-12-01,0,0,9,31,22,316
232,175962,2014-01-01,2,1,8,31,21,680
233,175962,2014-02-01,4,1,8,28,16,435
234,175962,2014-03-01,0,0,10,31,21,562
