,class_id,sale_date,sale_quantity
0,103507,2015-03-01,58
1,103507,2015-04-01,232
2,103507,2015-05-01,226
3,103507,2015-06-01,286
4,103507,2015-07-01,297
5,103507,2015-08-01,355
6,103507,2015-09-01,442
7,103507,2015-10-01,1050
8,103507,2015-11-01,481
9,103507,2015-12-01,1433
10,103507,2016-01-01,993
11,103507,2016-02-01,953
12,103507,2016-03-01,650
13,103507,2016-04-01,145
14,103507,2016-05-01,772
15,103507,2016-06-01,829
16,103507,2016-07-01,378
17,103507,2016-08-01,406
18,103507,2016-09-01,684
19,103507,2016-10-01,632
20,103507,2016-11-01,876
21,103507,2016-12-01,1653
22,103507,2017-01-01,499
23,103507,2017-02-01,435
24,103507,2017-03-01,371
25,103507,2017-04-01,290
26,103507,2017-05-01,429
27,103507,2017-06-01,371
28,103507,2017-07-01,313
29,103507,2017-08-01,180
30,103507,2017-09-01,186
31,103507,2017-10-01,180
32,124140,2014-05-01,15
33,124140,2014-06-01,83
34,124140,2014-07-01,195
35,124140,2014-08-01,113
36,124140,2014-09-01,174
37,124140,2014-10-01,225
38,124140,2014-11-01,263
39,124140,2014-12-01,248
40,124140,2015-01-01,286
41,124140,2015-02-01,294
42,124140,2015-03-01,233
43,124140,2015-04-01,233
44,124140,2015-05-01,338
45,124140,2015-06-01,309
46,124140,2015-07-01,346
47,124140,2015-08-01,316
48,124140,2015-09-01,376
49,124140,2015-10-01,241
50,124140,2015-11-01,271
51,124140,2015-12-01,324
52,124140,2016-01-01,459
53,124140,2016-02-01,354
54,124140,2016-03-01,248
55,124140,2016-04-01,324
56,124140,2016-05-01,263
57,124140,2016-06-01,143
58,124140,2016-07-01,211
59,124140,2016-08-01,406
60,124140,2016-09-01,331
61,124140,2016-10-01,293
62,124140,2016-11-01,301
63,124140,2016-12-01,526
64,124140,2017-01-01,316
65,124140,2017-02-01,203
66,124140,2017-03-01,210
67,124140,2017-04-01,218
68,124140,2017-05-01,263
69,124140,2017-06-01,256
70,124140,2017-07-01,255
71,124140,2017-08-01,226
72,124140,2017-09-01,285
73,124140,2017-10-01,263
74,125403,2012-01-01,90
75,125403,2012-02-01,156
76,125403,2012-03-01,91
77,125403,2012-04-01,74
78,125403,2012-05-01,130
79,125403,2012-06-01,164
80,125403,2012-07-01,188
81,125403,2012-08-01,131
82,125403,2012-09-01,124
83,125403,2012-10-01,107
84,125403,2012-11-01,147
85,125403,2012-12-01,123
86,125403,2013-01-01,238
87,125403,2013-02-01,90
88,125403,2013-03-01,156
89,125403,2013-04-01,139
90,125403,2013-05-01,230
91,125403,2013-06-01,131
92,125403,2013-07-01,246
93,125403,2013-08-01,155
94,125403,2013-09-01,172
95,125403,2013-10-01,114
96,125403,2013-11-01,222
97,125403,2013-12-01,99
98,125403,2014-01-01,164
99,125403,2014-02-01,89
100,125403,2014-03-01,156
101,125403,2014-04-01,230
102,125403,2014-05-01,65
103,125403,2014-06-01,106
104,125403,2014-07-01,222
105,125403,2014-08-01,147
106,125403,2014-09-01,139
107,125403,2014-10-01,98
108,125403,2014-11-01,188
109,125403,2014-12-01,164
110,125403,2015-01-01,147
111,125403,2015-02-01,115
112,125403,2015-03-01,140
113,125403,2015-04-01,270
114,125403,2015-05-01,90
115,125403,2015-06-01,164
116,125403,2015-07-01,213
117,125403,2015-08-01,213
118,125403,2015-09-01,197
119,125403,2015-10-01,115
120,125403,2015-11-01,148
121,125403,2015-12-01,213
122,125403,2016-01-01,156
123,125403,2016-02-01,115
124,125403,2016-03-01,197
125,125403,2016-04-01,361
126,125403,2016-05-01,156
127,125403,2016-06-01,132
128,125403,2016-07-01,172
129,125403,2016-08-01,197
130,125403,2016-09-01,247
131,125403,2016-10-01,99
132,125403,2016-11-01,131
133,125403,2016-12-01,182
134,125403,2017-01-01,172
135,125403,2017-02-01,131
136,125403,2017-03-01,360
137,125403,2017-04-01,327
138,125403,2017-05-01,279
139,125403,2017-06-01,343
140,125403,2017-07-01,418
141,125403,2017-08-01,311
142,125403,2017-09-01,328
143,125403,2017-10-01,156
144,136916,2012-01-01,665
145,136916,2012-02-01,351
146,136916,2012-03-01,274
147,136916,2012-04-01,231
148,136916,2012-05-01,375
149,136916,2012-06-01,410
150,136916,2012-07-01,537
151,136916,2012-08-01,462
152,136916,2012-09-01,366
153,136916,2012-10-01,477
154,136916,2012-11-01,206
155,136916,2012-12-01,358
156,136916,2013-01-01,613
157,136916,2013-02-01,214
158,136916,2013-03-01,341
159,136916,2013-04-01,317
160,136916,2013-05-01,546
161,136916,2013-06-01,349
162,136916,2013-07-01,452
163,136916,2013-08-01,478
164,136916,2013-09-01,715
165,136916,2013-10-01,546
166,136916,2013-11-01,452
167,136916,2013-12-01,392
168,136916,2014-01-01,639
169,136916,2014-02-01,307
170,136916,2014-03-01,189
171,136916,2014-04-01,257
172,136916,2014-05-01,233
173,136916,2014-06-01,300
174,136916,2014-07-01,334
175,136916,2014-08-01,324
176,136916,2014-09-01,377
177,136916,2014-10-01,307
178,136916,2014-11-01,256
179,136916,2014-12-01,249
180,136916,2015-01-01,444
181,136916,2015-02-01,283
182,136916,2015-03-01,282
183,136916,2015-04-01,291
184,136916,2015-05-01,179
185,136916,2015-06-01,300
186,136916,2015-07-01,264
187,136916,2015-08-01,342
188,136916,2015-09-01,315
189,136916,2015-10-01,239
190,136916,2015-11-01,247
191,136916,2015-12-01,290
192,136916,2016-01-01,256
193,136916,2016-02-01,120
194,136916,2016-03-01,256
195,136916,2016-04-01,299
196,136916,2016-05-01,248
197,136916,2016-06-01,247
198,136916,2016-07-01,290
199,136916,2016-08-01,188
200,136916,2016-09-01,171
201,136916,2016-10-01,180
202,136916,2016-11-01,213
203,136916,2016-12-01,256
204,136916,2017-01-01,213
205,136916,2017-02-01,196
206,136916,2017-03-01,213
207,136916,2017-04-01,137
208,136916,2017-05-01,162
209,136916,2017-06-01,179
210,136916,2017-07-01,162
211,136916,2017-08-01,179
212,136916,2017-09-01,145
213,136916,2017-10-01,162
214,169673,2017-06-01,67
215,169673,2017-07-01,57
216,169673,2017-08-01,86
217,169673,2017-09-01,219
218,169673,2017-10-01,152
219,175962,2012-12-01,8
220,175962,2013-01-01,63
221,175962,2013-02-01,64
222,175962,2013-03-01,126
223,175962,2013-04-01,237
224,175962,2013-05-01,229
225,175962,2013-06-01,206
226,175962,2013-07-01,269
227,175962,2013-08-01,356
228,175962,2013-09-01,387
229,175962,2013-10-01,340
230,175962,2013-11-01,513
231,175962,2013-12-01,316
232,175962,2014-01-01,680
233,175962,2014-02-01,435
234,175962,2014-03-01,562
235,175962,2014-04-01,522
236,175962,2014-05-01,474
237,175962,2014-06-01,380
238,175962,2014-07-01,482
239,175962,2014-08-01,459
240,175962,2014-09-01,594
241,175962,2014-10-01,657
242,175962,2014-11-01,442
243,175962,2014-12-01,1627
244,175962,2015-01-01,727
245,175962,2015-02-01,450
246,175962,2015-03-01,356
247,175962,2015-04-01,371
248,175962,2015-05-01,364
249,175962,2015-06-01,254
250,175962,2015-07-01,387
251,175962,2015-08-01,309
252,175962,2015-09-01,348
253,175962,2015-10-01,411
254,175962,2015-11-01,269
255,175962,2015-12-01,222
256,175962,2016-01-01,302
257,175962,2016-02-01,214
258,175962,2016-03-01,372
259,175962,2016-04-01,593
260,175962,2016-05-01,214
261,175962,2016-06-01,221
262,175962,2016-07-01,269
263,175962,2016-08-01,134
264,175962,2016-09-01,151
265,175962,2016-10-01,269
266,175962,2016-11-01,411
267,175962,2016-12-01,633
268,175962,2017-01-01,396
269,175962,2017-02-01,151
270,175962,2017-03-01,301
271,175962,2017-04-01,134
272,175962,2017-05-01,167
273,175962,2017-06-01,143
274,175962,2017-07-01,119
275,175962,2017-08-01,103
276,175962,2017-09-01,214
277,175962,2017-10-01,237
278,178529,2012-01-01,1739
279,178529,2012-02-01,1493
280,178529,2012-03-01,1248
281,178529,2012-04-01,895
282,178529,2012-05-01,918
283,178529,2012-06-01,683
284,178529,2012-07-01,873
285,178529,2012-08-01,644
286,178529,2012-09-01,694
287,178529,2012-10-01,742
288,178529,2012-11-01,872
289,178529,2012-12-01,639
290,178529,2013-01-01,1465
291,178529,2013-02-01,943
292,178529,2013-03-01,999
293,178529,2013-04-01,781
294,178529,2013-05-01,907
295,178529,2013-06-01,684
296,178529,2013-07-01,759
297,178529,2013-08-01,644
298,178529,2013-09-01,958
299,178529,2013-10-01,884
300,178529,2013-11-01,730
301,178529,2013-12-01,587
302,178529,2014-01-01,1567
303,178529,2014-02-01,975
304,178529,2014-03-01,872
305,178529,2014-04-01,632
306,178529,2014-05-01,513
307,178529,2014-06-01,456
308,178529,2014-07-01,314
309,178529,2014-08-01,359
310,178529,2014-09-01,525
311,178529,2014-10-01,491
312,178529,2014-11-01,513
313,178529,2014-12-01,616
314,178529,2015-01-01,924
315,178529,2015-02-01,634
316,178529,2015-03-01,655
317,178529,2015-04-01,508
318,178529,2015-05-01,496
319,178529,2015-06-01,320
320,178529,2015-07-01,319
321,178529,2015-08-01,274
322,178529,2015-09-01,537
323,178529,2015-10-01,479
324,178529,2015-11-01,399
325,178529,2015-12-01,508
326,178529,2016-01-01,393
327,178529,2016-02-01,531
328,178529,2016-03-01,296
329,178529,2016-04-01,200
330,178529,2016-05-01,239
331,178529,2016-06-01,229
332,178529,2016-07-01,166
333,178529,2016-08-01,194
334,178529,2016-09-01,200
335,178529,2016-10-01,223
336,178529,2016-11-01,222
337,178529,2016-12-01,387
338,178529,2017-01-01,182
339,178529,2017-02-01,451
340,178529,2017-03-01,331
341,178529,2017-04-01,331
342,178529,2017-05-01,188
343,178529,2017-06-01,177
344,178529,2017-07-01,177
345,178529,2017-08-01,108
346,178529,2017-09-01,165
347,178529,2017-10-01,148
348,186250,2016-02-01,25
349,186250,2016-03-01,17
350,186250,2016-04-01,42
351,186250,2016-05-01,100
352,186250,2016-06-01,125
353,186250,2016-07-01,108
354,186250,2016-08-01,100
355,186250,2016-09-01,208
356,186250,2016-10-01,224
357,186250,2016-11-01,274
358,186250,2016-12-01,332
359,186250,2017-01-01,125
360,186250,2017-02-01,133
361,186250,2017-03-01,158
362,186250,2017-04-01,116
363,186250,2017-05-01,174
364,186250,2017-06-01,42
365,186250,2017-07-01,125
366,186250,2017-08-01,108
367,186250,2017-09-01,83
368,186250,2017-10-01,83
369,194201,2017-09-01,239
370,194201,2017-10-01,378
371,194450,2012-01-01,65
372,194450,2012-02-01,59
373,194450,2012-03-01,30
374,194450,2012-04-01,18
375,194450,2012-05-01,59
376,194450,2012-06-01,36
377,194450,2012-07-01,36
378,194450,2012-08-01,24
379,194450,2012-09-01,42
380,194450,2012-10-01,42
381,194450,2012-11-01,95
382,194450,2012-12-01,65
383,194450,2013-01-01,106
384,194450,2013-02-01,77
